child	age	verb_types	lexical_types	morph_types	dir_types	noncaus_types	verb_tokens	lexical_tokens	morph_tokens	dir_tokens	noncaus_tokens	verb_entropy	verb_var	lex_entropy	lex_var	morph_entropy	morph_var	dir_entropy	dir_var	noncaus_entropy	noncaus_var	dir_inv_entropy	dir_inv_var	verb_obj	lex_obj	morph_obj	dir_obj	noncaus_obj
c1	430	25	3	2	0	21	123	22	2	0	99	2.720150685841451	0.0846749322169988	0.8811900567112859	0.13740061973181097	2.0175215908468385	0.7312450339149604	0	0	2.4971250608684104	0.09934044495731463	1.9457708600555688	0.11580591080602465	0.24329	0.272805	1.0	0	0.22254
c1	448	36	9	2	1	27	211	51	5	1	160	2.7797882380540293	0.09732410827682615	1.8612567192356688	0.14127256471329452	1.0168021449766365	0.5650780384088526	1.763180189619571	1.0586638954238268	2.332538072140126	0.11429206921034772	2.3783837041209717	0.11862813421430939	0.168046	0.387586	0.199843	1.0	0.099546
c1	464	32	6	2	0	25	148	23	4	0	121	2.9982670777400386	0.08110686541697044	1.6665263653252114	0.09112225032471252	1.3268760616000097	0.6041606605277421	0	0	2.6544759211067275	0.09570396071455495	2.296142659626859	0.10680166457535534	0.222539	0.130544	0.5000560000000001	0	0.231758
c1	481	37	11	5	1	25	143	25	8	2	112	3.1069397414916455	0.09514693136303325	2.3562782779870495	0.21293825962736054	2.3181850440053613	0.48138635526476387	0.8246320887281454	0.7931359983775434	2.6473028865596215	0.11174197569048269	2.3414612544104423	0.12887458213272518	0.207359	0.521869	0.624842	1.0	0.12577
c1	495	31	10	3	2	21	132	39	3	2	91	2.9213938262497647	0.102740096671231	1.8855727843450751	0.16550341582140887	2.725716628288539	0.7561007277283974	1.9929442711734213	0.7198747157224432	2.4697489521959555	0.1357711472227733	2.540048177496613	0.11121258756089701	0.190544	0.341708	0.0	0.0	0.132184
c1	513	38	11	1	0	26	181	45	10	0	126	3.1897265076765713	0.09030116986777953	2.1987263506898027	0.10545301218574753	0.12218398096085788	0.2028520509915311	0	0	2.686548636645363	0.11915766711080823	2.805784117278707	0.12374726821805664	0.41464	0.51043	0.8007000000000001	0	0.34837
c1	526	35	7	1	0	28	87	12	1	0	75	3.378425405661908	0.13384104780033865	2.001106657588652	0.2751108390398382	2.0635670502009122	1.224963029809009	0	0	3.067950177378332	0.12873828062841883	2.595309858111224	0.19014442432172032	0.195365	0.33323600000000003	1.0	0	0.173011
c1	545	47	14	4	2	30	220	70	6	2	144	3.2200668395822563	0.09604554737304852	2.0466747583251204	0.14111297768795733	2.2539664525078345	0.6929183020714801	2.2479065335421513	0.8393471169108588	2.717017326432157	0.12037602404354768	2.251895524851809	0.11462041238675097	0.2051	0.3281	0.166189	0.500424	0.145613
c1	562	40	11	3	0	27	158	47	5	0	109	3.1793057422033257	0.10371710261958958	1.9036226279507882	0.17948805166460782	1.8055318611658442	0.6845852670545248	0	0	2.7239181035042304	0.10386583580395395	2.6642721682260184	0.13689365221252697	0.210151	0.305085	0.599826	0	0.164768
c1	575	40	10	4	1	28	166	39	6	1	124	3.355038197547854	0.09201564851643478	2.146837011996702	0.08672798817374049	2.2383909054492026	0.6788195053460607	1.8187929599299903	1.089352720063894	2.9029669364181254	0.10572039670573367	2.9100362940279667	0.1088861975475848	0.344106	0.405429	0.500343	1.0	0.316977
c1	589	33	6	5	1	24	145	45	15	5	91	2.774196488761687	0.12196552772386962	0.9468806984099476	0.183142154247288	1.7216432754157232	0.3078430348520506	0.26584480525250626	0.3727662819424615	2.52792391925949	0.15254949762925574	1.9840569354735915	0.149391646244297	0.293172	0.465678	0.532788	0.400376	0.186582
c1	606	47	12	3	2	32	185	29	4	2	152	3.433262185608019	0.09256343395651635	2.386097216758966	0.20909120118611582	2.33114227411051	0.8651272495817213	2.4625444851177076	0.9423847203575124	3.0146469774982196	0.09626222489250387	2.872893102835229	0.13139741929997972	0.262678	0.213833	0.500426	0.0	0.265011
c1	621	28	9	3	0	18	113	32	7	0	78	3.078328230976074	0.11171018320773206	2.166349229965537	0.1529104182810493	1.4484402587468717	0.4841977833260011	0	0	2.5236556654766704	0.140596287642769	2.7642735972310466	0.1442942656138743	0.241879	0.451626	0.427105	0	0.153756
