child	age	verb_types	lexical_types	morph_types	dir_types	noncaus_types	verb_tokens	lexical_tokens	morph_tokens	dir_tokens	noncaus_tokens	verb_entropy	verb_var	lex_entropy	lex_var	morph_entropy	morph_var	dir_entropy	dir_var	noncaus_entropy	noncaus_var	dir_inv_entropy	dir_inv_var	verb_obj	lex_obj	morph_obj	dir_obj	noncaus_obj
c1	1011	53	16	5	1	36	248	85	13	2	155	3.7223179989682995	0.06277765109331486	2.4843315353099436	0.09456109311109266	1.860235510956914	0.34157773732591856	0.872892584885851	0.852501237606798	3.334731032820289	0.07865231928502077	3.0512411524959546	0.07949933496312439	0.206189	0.229606	0.461774	0.0	0.180722
c1	1024	48	13	7	2	32	236	86	15	4	139	3.4523839252603166	0.0748269538985114	2.09793142454339	0.10365722491233151	2.23192374193937	0.366278045147356	1.3441541090838527	0.6257272348434095	3.0454991618157568	0.09011441994121518	2.810952252730114	0.07818256477842905	0.337816	0.433579	0.267277	0.0	0.291804
c1	1038	47	15	5	2	30	249	105	10	2	140	3.429262167304539	0.07410818373436785	2.301995354627019	0.09834925084962741	2.052689292610862	0.4488672790432566	2.5213534643017894	0.970981385250907	2.9992981715038907	0.09155128883404216	2.613052761659823	0.09167182317605106	0.356199	0.429723	0.299932	0.499933	0.307525
c1	1052	72	20	4	0	50	445	129	7	0	310	3.6288207522738323	0.06339029152412977	2.5764319329182093	0.0961079121224485	2.045849727076297	0.5949205249631748	0	0	3.158477086295409	0.07942539736732492	3.0218359537764625	0.08020519070339714	0.245048	0.468487	0.427818	0	0.151915
c1	1064	56	14	7	2	41	328	120	15	2	196	3.3734575631894455	0.06494838622063384	2.0227594882877606	0.10464931714166427	2.260619722833161	0.34552509963439243	2.1989873890185985	0.8161695382642676	3.058782836927679	0.08879141823729284	2.640882432967647	0.07935056839916206	0.309292	0.482534	0.399956	0.499827	0.209384
c1	1080	50	15	5	1	32	212	54	6	1	154	3.4220159623909185	0.07781075894388885	2.2546855612638677	0.14477419381027887	2.8719846205656556	0.6255057478217938	1.7482537103366462	1.0504346940764417	2.9485050677904883	0.08018586948198525	2.6409203850289606	0.10717692517686199	0.233031	0.38474200000000003	0.16637	1.0	0.181526
c1	1098	60	13	3	1	46	201	69	11	5	125	3.8220582561634653	0.08418879681687921	2.319372936613162	0.11734790287845794	1.2915149344269115	0.3081247964788147	0.2725830555730825	0.3843669674420615	3.6037764279987003	0.11056011033578274	2.9825461019667334	0.11757331167994814	0.260687	0.411351	0.182244	0.20007	0.191158
c1	242	1	0	0	0	1	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0	0	0	0.0
c1	273	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
c1	289	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
